date,cases,deaths,uf,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-04-07,2,0,PR,96688,4126256,2.06851,
2020-04-07,1,0,PR,5284,4126405,18.92506,
2020-04-07,6,0,PR,78974,4127106,7.59744,
2020-04-07,1,0,PR,17094,4127205,5.85001,
2020-04-07,1,0,PR,16789,4127304,5.95628,
2020-04-07,2,0,PR,111557,4128104,1.79281,
2020-04-07,2,0,PR,57517,4128203,3.47723,
2020-04-07,1,0,PR,7257,4128609,13.7798,
2020-04-07,1,0,PR,6838,4128708,14.62416,
2020-04-07,511,15,PR,11433957,41,4.46914,0.0294
2020-04-07,4,0,RJ,203785,3300100,1.96285,
2020-04-07,1,0,RJ,132400,3300209,0.75529,
2020-04-07,1,1,RJ,30349,3300258,3295,1.0
2020-04-07,3,0,RJ,100374,3300308,2.98882,
2020-04-07,8,0,RJ,184412,3300407,4.33811,
2020-04-07,19,3,RJ,510906,3300456,3.71888,0.1579
2020-04-07,1,0,RJ,27446,3300506,3.64352,
2020-04-07,1,0,RJ,226525,3300704,0.44145,
2020-04-07,3,0,RJ,507548,3301009,0.59108,
2020-04-07,3,0,RJ,44184,3301306,6.78979,
2020-04-07,33,5,RJ,919596,3301702,3.58853,0.1515
2020-04-07,3,0,RJ,60517,3301850,4.95728,
2020-04-07,3,2,RJ,28310,3301876,10.59696,0.6667
2020-04-07,1,0,RJ,,,,
2020-04-07,15,2,RJ,240592,3301900,6.23462,0.1333
2020-04-07,3,0,RJ,133019,3302007,2.25532,
2020-04-07,2,0,RJ,103224,3302205,1.93753,
2020-04-07,1,0,RJ,104768,3302270,0.95449,
2020-04-07,6,0,RJ,256672,3302403,2.33761,
2020-04-07,7,0,RJ,245071,3302502,2.85632,
2020-04-07,2,0,RJ,44468,3302601,4.49762,
2020-04-07,9,1,RJ,161207,3302700,5.58288,0.1111
2020-04-07,7,1,RJ,176103,3302858,3.97495,0.1429
2020-04-07,1,1,RJ,25538,3302908,3.91573,1.0
2020-04-07,9,0,RJ,162485,3303203,5.53897,
